gvkey,datadate,tic,conm,act,at,csho,ebit,lct,lt,re,sale,prcc_c,gsector,mve
162254,12/31/22,CE,CELANESE CORP,6611,26272,108.474,1415,4068,20167,10756,9673,102.24,15,11090.382
162401,12/31/22,HUN,HUNTSMAN CORP,3145,8220,183.634,710,1701,4380,1437,8023,27.48,15,5046.262
163113,12/31/22,KOP,KOPPERS HOLDINGS INC,636.8,1711.4,20.763,136.3,324,1308.4,262.9,1980.5,28.2,15,585.517
163595,12/31/22,ALTO,ALTO INGREDIENTS INC,199.121,478.321,75.155,-55.629,78.017,170.232,-732.821,1335.621,2.88,15,216.446
163946,12/31/22,CF,CF INDUSTRIES HOLDINGS INC,3673,13313,195.604,5561,995,5460,3637,11186,85.2,15,16665.461
164363,12/31/22,TROX,TRONOX HOLDINGS PLC,1960,6306,154.497,543,850,3903,312,3454,13.71,15,2118.154
165927,12/31/22,TX,TERNIUM S A,8844.038,17491.548,196.308,2783.538,2216.83,3723.155,12339.377,16414.466,30.56,15,5999.172
170879,12/31/22,ATCMF,ATICO MINING CORP,36.948,121.017,121.286,8.845,18.731,54.069,13.715,65.166,0.161,15,19.527
175230,12/31/22,ORAAF,AURA MINERALS INC,247.623,727.308,71.947,84.794,161.133,417.181,-357.134,392.699,5.91,15,425.207
175503,12/31/22,GORO,GOLD RESOURCE CORP,46.099,204.171,88.398,6.696,24.682,92.407,6.535,138.724,1.53,15,135.249
176133,12/31/22,MAKOF,MAKO MNG CORP,12.904,45.171,657.43,-5.793,16.156,31.501,-86.438,63.375,0.1041,15,68.438
176867,12/31/22,ITP,IT TECH PACKAGING INC,47.166,204.447,10.066,-5.304,17.641,23.123,92.141,100.352,0.4602,15,4.632
177405,12/31/22,HYMC,HYCROFT MINING HOLDING CORP,152.392,248.954,200.271,-53.49,12.033,185.648,-670.151,33.229,0.5321,15,106.564
178094,12/31/22,ROYIF,ROYALTIES INC,0.023,0.949,201.293,-0.11,2.169,2.169,-39.41,0.011,0.016,15,3.221
178384,12/31/22,ARNGF,ARGONAUT GOLD INC,231.932,1259.395,838.176,-134.278,144.387,423.126,-414.729,388.341,0.38,15,318.507
178675,12/31/22,DNGDF,DYNACOR GROUP INC,54.935,96.902,38.457,18.057,11.234,16.621,54.635,197.545,2.24,15,86.144
178874,12/31/22,ORLA,ORLA MINING LTD,132.862,613.816,305.809,97.807,97.777,216.832,-58.229,193.23,4.04,15,1235.468
178978,12/31/22,SLSDF,SELECT SANDS CORP,6.55,20.908,88.563,0.045,5.44,14.857,-34.486,22.298,0.0387,15,3.427
178997,12/31/22,FNV,FRANCO-NEVADA CORP,1383.1,6626.8,191.893,820.7,50.2,209.2,706.7,1316.4,136.48,15,26189.557
179060,12/31/22,BTG,B2GOLD CORP,1035.171,3681.233,1074.695,510.894,233.616,569.444,442.27,1732.59,3.57,15,3836.661
179163,12/31/22,FPLSF,5N PLUS INC,187.162,347.985,88.33,19.943,62.846,235.209,-251.213,264.223,1.97,15,174.01
179825,12/31/22,EVGDF,ELEVATION GOLD MINING CORP,30.91,113.931,110.391,-45.334,25.262,58.155,-66.608,62.008,0.0925,15,10.211
179843,12/31/22,IPI,INTREPID POTASH INC,171.679,794.203,12.688,108.348,48.876,79.125,76.463,337.568,28.87,15,366.303
180367,12/31/22,AYASF,AYA GOLD & SILVER INC,59.815,156.804,105.02,1.807,24.241,26.495,-65.722,38.245,6.625,15,695.758
180483,9/30/22,BERY,BERRY GLOBAL GROUP INC,5164,16956,124.2,1265,2844,13760,2018,14495,60.43,15,7505.406
180506,12/31/22,LUCRF,LUCARA DIAMOND CORP,100.339,495.839,453.567,61.772,59.857,225.778,-88.151,212.934,0.38,15,172.355
181931,12/31/22,CLW,CLEARWATER PAPER CORP,586.3,1703.5,16.762,122.1,312,1131.5,543.5,2080.1,37.81,15,633.771
182539,12/31/22,ORZCF,OREZONE GOLD CORP,31.221,252.281,336.328,1.29,73.779,181.954,-227.783,43.431,0.9278,15,312.045
183968,12/31/22,SVFD,SAVE FOODS INC,6.272,6.492,4.615,-5.82,0.715,0.755,-22.864,0.394,0.755001,15,3.484
184082,12/31/22,MBCF,ITAFOS INC,198.401,614.009,188.869,183.565,97.077,360.891,-530.48,593.288,1.05,15,198.312
184717,12/31/22,AMRSQ,AMYRIS INC,306.361,824.932,364.745,-589.999,387.147,1292.642,-2944.292,269.847,1.53,15,558.06
184800,12/31/22,GGAZF,GOLDGROUP MINING INC,3.024,15.405,22.924,-3.795,15.823,17.971,-145.969,0.552,0.07625,15,1.748
185448,12/31/22,ARMN,ARIS MINING CORP,378.201,1242.12,136.058,136.064,145.25,740.745,-394.334,399.963,2.49,15,338.784
186103,12/31/22,GEODF,GEODRILL LTD,82.868,141.229,46.836,27.617,28.332,34.171,75.59,138.625,1.98,15,92.735
186773,12/31/22,SXC,SUNCOKE ENERGY INC,374,1654.6,83.411,153.7,224,1031.9,40.5,1972.5,8.63,15,719.837
187356,6/30/22,SGMD,SUGARMADE INC,1.083,16.87,11825.39,-5.905,13.794,19.84,-85.398,4.716,0.0002,15,2.365
187550,12/31/22,ASPN,ASPEN AEROGELS INC,369.685,643.416,69.995,-79.245,78.945,195.981,-627.791,180.364,11.79,15,825.241
187551,12/31/22,TSE,TRINSEO PLC,1390.7,3760.2,35.1,-46.2,689.4,3339.9,133.2,4965.5,22.71,15,797.121
187765,12/31/22,ECSNF,ECOSYNTHETIX INC,34.196,48.194,59.265,-2.834,2.595,3.139,-456.726,19.035,3.0675,15,181.795
187831,8/31/22,BRSGF,QUEEN'S RD CAP INVST LTD,35.341,232.574,443.556,-2.433,1.181,1.497,43.62,8.498,0.53,15,235.085
188661,12/31/22,GGGOF,GOLCONDA GOLD LTD,2.046,42.619,71.273,-1.456,6.895,9.271,-27.632,13.168,0.2247,15,16.015
200512,12/31/22,SUZ,SUZANO SA,7022.054,25195.491,654.676,3937.687,2741.384,18921.8,4904.379,9425.933,9.24,15,6049.206
200856,12/31/22,BVN,MINAS BUENAVENTURA SA,620.38,4503.227,253.987,-5.946,379.597,1340.286,2039.112,824.802,7.45,15,1892.203
200976,12/31/22,BAK,BRASKEM SA,6517.949,16655.165,398.271,1148.837,4574.838,15499.746,-39.92,18257.416,9.2,15,3664.093
201706,6/30/22,DRD,DRDGOLD LTD,187.956,432.366,85.798,71.517,38.208,100.075,-44.799,312.66,7.4,15,634.905
204203,12/31/22,CPAC,CEMENTOS PACASMAYO SAA,312.003,870.061,85.622,94.305,250.226,556.304,110.122,555.443,5.1617,15,441.955
205182,12/31/22,MNSAF,MINEROS SA,189.751,569.543,299.737,63.34,134.581,222.99,66.166,529.001,0.8652,15,259.332
208057,12/31/22,SID,COMPANHIA SIDERURGICA NACION,5790.58,16145.479,1326.094,1352.541,4251.354,12018.795,1743.424,8391.46,2.76,15,3660.019
208079,6/30/22,SMSMY,SIMS LTD,1220.818,3058.591,192.495,223.151,706.38,1310.382,-225.769,6382.703,8.877,15,1708.778
208323,3/31/22,VEDL,VEDANTA LTD,9038.088,25424.921,927.203,5161.748,8627.18,14789.555,5831.081,17523.933,16.5,15,15298.85
209382,12/31/22,VALE,VALE SA,15526,86894,4483.079,19230,13891,49536,-21906,43839,16.97,15,76077.851
220211,12/31/22,ICL,ICL GROUP LTD,4548,11750,1289.179,3492,2606,6037,4942,10015,7.31,15,9423.898
260651,12/31/22,OCANF,OCEANAGOLD CORP,288.9,2290.6,704.211,188.5,229.6,617.3,371.7,967.4,1.896,15,1335.184
267059,12/31/22,LOMA,LOMA NEGRA C.I.A.S.A.,227.459,1145.496,116.735,150.643,235.696,490.881,439.309,819.39,6.85,15,799.635
272883,12/31/22,SRBIF,SERABI GOLD PLC,22.766,100.236,75.735,2.097,12.404,18.713,32.826,58.709,0.25,15,18.934
294524,12/31/22,LYB,LYONDELLBASELL INDUSTRIES NV,11845,36365,325.724,5200,6760,23622,7823,50451,83.03,15,27044.864
315318,12/31/22,ESI,ELEMENT SOLUTIONS INC,1188.7,4903.7,240.79,345.9,344.4,2554.6,-1521.9,2549.4,18.19,15,4379.97
1004,5/31/22,AIR,AAR CORP,1007.2,1573.9,35.391,116.2,348.2,539.4,800.8,1817.1,39.03,20,1381.311
1045,12/31/22,AAL,AMERICAN AIRLINES GROUP INC,15269,64716,650.642,1805,21496,70515,-13096,48971,12.72,20,8276.166
1050,12/31/22,CECO,CECO ENVIRONMENTAL CORP,240.658,504.721,34.382,25.214,146.7,286.573,-37.294,422.627,11.68,20,401.582
1104,12/31/22,ACU,ACME UNITED CORP,105.6,164.377,3.538,6.273,22.127,85.347,68.879,193.962,21.9,20,77.482
1210,3/31/22,AIRT,AIR T INC,128.243,207.599,2.866,-0.303,30.907,171.121,26.466,177.077,25.15,20,72.08
1230,12/31/22,ALK,ALASKA AIR GROUP INC,3040,14186,127.534,694,4493,10370,3912,9646,42.94,20,5476.31
1254,12/31/22,MATX,MATSON INC,759.6,4330,36.3,1270.5,581.6,2033.1,1979.3,4343,62.51,20,2269.113
1300,12/31/22,HON,HONEYWELL INTERNATIONAL INC,24982,62275,667.6,7308,19938,44949,41618,35466,214.3,20,143066.68
1410,10/31/22,ABM,ABM INDUSTRIES INC,1561.2,4868.9,65.588,421.7,1353.2,3151.7,1041,7806.6,44.42,20,2913.419
1598,12/31/22,AME,AMETEK INC,2528.058,12431.12,230.051,1500.692,1564.202,4954.608,8282.54,6150.53,139.72,20,32142.726
1686,2/28/22,APOG,APOGEE ENTERPRISES INC,337.892,887.863,23.701,77.674,232.946,501.664,228.585,1313.977,48.15,20,1141.203
1706,8/31/22,EPAC,ENERPAC TOOL GROUP CORP,342.38,757.312,56.838,65.51,153.188,438.701,831.79,571.223,25.45,20,1446.527
1743,12/31/22,ARCB,ARCBEST CORP,989.783,2494.286,24.229,406.779,768.47,1342.885,1095.796,5324.052,70.04,20,1696.999
1783,11/30/22,ARTW,ARTS WAY MFG INC,14.133,23.948,4.949,0.333,9.267,12.798,6.754,28.4,1.93,20,9.552
1823,12/31/22,ATRO,ASTRONICS CORP,365.294,615.031,32.281,-32.868,151.612,375.111,230.834,534.894,10.3,20,332.494
1891,6/30/22,ADP,AUTOMATIC DATA PROCESSING,54804.9,63068.2,416.1,3777.2,55158.7,59842.9,18702.6,16498.3,238.86,20,99389.646
1926,2/28/22,AZZ,AZZ INC,386.533,1133.028,24.688,113.097,150.531,465.663,556.83,902.664,55.29,20,1365
2049,12/31/22,B,BARNES GROUP INC,732.304,2413.73,50.591,145.911,305.073,1067.403,1347.398,1261.868,40.85,20,2066.642
2101,6/30/22,AIT,APPLIED INDUSTRIAL TECH INC,1359.529,2452.588,38.499,357.858,499.627,1303.233,1427.381,3810.676,126.03,20,4852.029
2285,12/31/22,BA,BOEING CO,109523,137100,597.59,-1756,90052,152948,19923,66608,190.49,20,113834.919
2312,12/31/22,RHI,ROBERT HALF INC,2285.112,2964.488,107.698,975.086,1216.202,1395.93,274.885,7238.142,73.83,20,7951.343
2352,7/31/22,BRC,BRADY CORP,498.068,1367.332,49.909,194.853,255.174,456.034,783.34,1302.062,47.1,20,2350.714
2497,12/31/22,MTZ,MASTEC INC,3859.127,9293.259,78.682,206.42,2496.037,6552.072,2144.787,9778.038,85.33,20,6713.935
2519,4/30/22,BUKS,BUTLER NATIONAL CORP,27.826,100.809,76.458,16.129,13.665,59.975,29.948,73.473,0.78,20,59.637
2574,12/31/22,CSX,CSX CORP,3849,41912,2066.367,5712,2471,29287,9975,14853,30.98,20,64016.05
2596,6/30/22,CACI,CACI INTL INC  -CL A,1209.638,6629.431,23.416,496.329,1027.361,3575.888,3524.805,6202.917,300.59,20,7038.615
2771,12/31/22,CSL,CARLISLE COS INC,2245,7222,50.9,1301.4,1078.4,4197.6,4869.3,6591.9,235.65,20,11994.585
2817,12/31/22,CAT,CATERPILLAR INC,43785,81943,516.346,10827,31531,66052,41057,59427,239.56,20,123695.848
2999,12/31/22,CVR,CHICAGO RIVET & MACHINE CO,21.764,33.626,0.966,-1.176,1.691,2.639,33.324,33.646,28.63,20,27.657
3062,5/31/22,CTAS,CINTAS CORP,2631.983,8147.256,101.711,1557.219,1432.89,4839.06,8827.08,7854.459,443.17,20,45075.264
3580,12/31/22,CR,CRANE CO,1751.9,4390.2,56.325,592.1,1488.2,2486.2,2319.5,3374.9,100.45,20,5657.846
3650,12/31/22,CMI,CUMMINS INC,14451,30299,141.3,2865,11421,20074,16147,28074,242.29,20,34235.577
3662,12/31/22,CW,CURTISS-WRIGHT CORP,1517.313,4449.602,38.26,432.97,971.439,2457.483,2915.48,2557.025,166.99,20,6389.037
3851,12/31/22,DAL,DELTA AIR LINES INC,13011,72288,641.266,3537,25940,65706,-4631,50582,32.86,20,21072.001
3863,12/31/22,DLX,DELUXE CORP,704.037,3076.52,43.204,213.381,752.345,2472.296,481.371,2238.01,16.98,20,733.604
3908,6/30/22,DEWY,DEWEY ELECTRONICS CORP,6.565,7.478,0.939,-0.431,1.984,2.674,4.46,6.581,3,20,2.817
4036,7/31/22,DCI,DONALDSON CO INC,1406.5,2600.3,122.554,446.9,629.6,1467.1,1624.8,3306.6,58.87,20,7214.754
4058,12/31/22,DOV,DOVER CORP,3423.465,10896.519,139.698,1409.81,2773.274,6610.153,9956.847,8508.088,135.41,20,18916.506
4091,12/31/22,DCO,DUCOMMUN INC,527.336,1021.506,12.106,44.898,199.436,495.546,413.797,712.537,49.96,20,604.816
4094,12/31/22,DNB,DUN & BRADSTREET HOLDNGS INC,703.9,9471.9,435.718,170.4,1102.6,5963.5,-944.1,2224.6,12.26,20,5341.903
4108,12/31/22,FLS,FLOWSERVE CORP,2450.972,4790.634,130.434,205.875,1243.151,2932.027,3126.421,3620.551,30.68,20,4001.715
4115,1/31/22,DY,DYCOM INDUSTRIES INC,1356.09,2118.224,29.613,81.558,381.796,1359.68,746.645,3130.519,93.76,20,2776.515
4186,12/31/22,EML,EASTERN CO,125.316,261.523,6.222,14.866,46.981,134.908,115.573,279.265,19.28,20,119.96
4199,12/31/22,ETN,EATON CORP PLC,8746,35014,397.8,2995,6360,17939,4522,20752,156.95,20,62434.71
4321,9/30/22,EMR,EMERSON ELECTRIC CO,8506,35672,591.4,3619,7777,19356,26568,19629,96.06,20,56809.884
4390,2/28/22,EBF,ENNIS INC,165.029,368.844,25.8,45.113,37.19,65.029,179.411,400.014,19.53,20,503.874
4415,2/28/22,ETCC,ENVIRONMENTAL TECTONICS CORP,25.046,34.553,9.444,-2.997,18.457,32.958,-17.947,19.132,0.36,20,3.4
4423,12/31/22,EFX,EQUIFAX INC,1370.5,11547.9,122.5,1056,2015.2,7574.6,4782.3,5122.2,194.36,20,23809.1
4450,6/30/22,ESP,ESPEY MFG & ELECTRONICS CORP,37.099,39.897,2.446,1.529,7.62,7.798,18.678,32.105,14.2,20,34.733
4494,12/31/22,EXPD,EXPEDITORS INTL WASH INC,4518.017,5590.434,154.313,1889.371,2054.055,2476.899,3108.339,17071.284,103.92,20,16036.207
4498,9/30/22,IIIN,INSTEEL INDUSTRIES,335.332,471.745,19.478,160.898,62.596,82.001,288.269,826.832,27.52,20,536.035
4598,5/31/22,FDX,FEDEX CORP,20365,85994,259.514,6865,14274,61055,31679,93512,258.64,20,67120.701
4608,12/31/22,FSS,FEDERAL SIGNAL CORP,531.4,1524.3,60.7,160.3,180.5,663.4,698.2,1434.8,46.47,20,2820.729
4818,12/31/22,FLR,FLUOR CORP,5044,6827,142.322,168,3216,4831,531,13744,34.66,20,4932.881
4860,12/31/22,FSTR,FOSTER (LB) CO,205.732,365.31,10.777,8.662,103.111,227.712,102.004,501.453,9.68,20,104.321
4881,12/31/22,FELE,FRANKLIN ELECTRIC CO INC,858.09,1694.201,46.193,259.559,405.769,623.447,737.813,2043.711,79.75,20,3683.892
5046,12/31/22,GD,GENERAL DYNAMICS CORP,21063,51585,274.411,4211,15341,33017,35251,39407,248.11,20,68084.113
5047,12/31/22,GE,GENERAL ELECTRIC CO,66234,187788,1089.108,4542,56947,150074,83382,76555,83.79,20,91256.359
5050,9/30/22,JOB,GEE GROUP INC,42.222,119.554,114.45,8.96,15.579,18.551,-11.048,165.112,0.49,20,56.081
5087,12/31/22,SPXC,SPX TECHNOLOGIES INC,721.1,1930.9,45.292,140.8,333.8,851.7,205.9,1460.9,65.65,20,2973.42
5165,3/31/22,GIGA,GIGA-TRONICS INC,6.85,8.055,2.767,-1.985,4.114,4.33,-33.952,9.027,3.51,20,9.712
5165,12/31/22,GIGA,GIGA-TRONICS INC,19.738,38.954,5.932,-5.917,14.031,27.613,-29.505,30.255,0.68,20,4.034
5237,12/31/22,GRC,GORMAN-RUPP CO,225.526,872.83,26.095,48.677,85.213,541.636,322.185,521.027,25.62,20,668.554
5252,12/31/22,GGG,GRACO INC,1205.62,2438.9,167.702,575.7,399.917,579.248,907.473,2143.521,67.26,20,11279.637
5254,3/31/22,GHM,GRAHAM CORP,87.22,183.691,10.636,-11.126,59.424,87.197,70.605,122.814,12.44,20,132.312
5256,12/31/22,GWW,GRAINGER (W W) INC,4977,7588,50.256,2194,2010,4853,10520,15228,556.25,20,27954.9
5492,12/31/22,LHX,L3HARRIS TECHNOLOGIES INC,6754,33524,190.611,2051,5776,14900,2655,17062,208.21,20,39687.116
5496,12/31/22,NVRI,ENVIRI CORP,767.735,2790.854,79.49,66.974,597.281,2167.812,1046.805,1889.065,6.29,20,499.992
5520,12/31/22,ALNT,ALLIENT INC,236.007,588.347,15.978,34.204,87.588,372.882,131.613,502.988,34.81,20,556.194
5539,12/31/22,HCSG,HEALTHCARE SERVICES GROUP,508.632,718.334,74.088,61.096,178.619,292.162,151.018,1700.176,12,20,889.056
5559,12/31/22,STRL,STERLING INFRASTRUCTURE INC,597.254,1441.62,30.585,173.987,446.611,942.224,186.379,1769.436,32.8,20,1003.188
5567,10/31/22,HEI,HEICO CORP,1152.73,4095.496,136.612,489.213,420.859,1119.589,2207.433,2208.322,153.64,20,20989.068
5608,12/31/22,HXL,HEXCEL CORP,734.4,2837.3,84.2,163.4,329.8,1283.1,1930.5,1577.7,58.85,20,4955.17
5650,3/31/22,HTHIY,HITACHI LTD,54345.39,114361.635,483.618,6079.271,48207.414,70261.679,31597.059,84527.56,108.202,20,52328.435
5690,12/31/22,HNI,HNI CORP,469.2,1414.5,41.4,128.3,395.1,797.7,526,2361.8,28.43,20,1177.002
5764,12/31/22,HUBB,HUBBELL INC,2021.4,5402.6,53.69,726.1,1088.5,3032,2360.3,4947.9,234.68,20,12599.969
5783,12/31/22,JBHT,HUNT (JB) TRANSPRT SVCS INC,2211.778,7786.582,103.743,1401.031,1568.231,4119.814,6423.73,14813.999,174.36,20,18088.629
5788,10/31/22,HURC,HURCO COS INC,268.069,306.237,6.567,12.747,73.336,83.593,158.352,250.814,26.13,20,171.596
5860,12/31/22,ITT,ITT INC,1836.8,3780.3,82.7,465.2,1185.5,1522.9,2165.4,2987.7,81.1,20,6706.97
5878,12/31/22,ITW,ILLINOIS TOOL WORKS,6270,15422,305,3790,4460,12333,23958,15932,220.3,20,67191.5
5959,12/31/22,TT,TRANE TECHNOLOGIES PLC,6379.2,18081.6,228.827,2377.9,5686.8,11976.4,7554.7,15991.7,168.09,20,38463.53
5987,9/30/22,GFF,GRIFFON CORP,1214.672,2816.474,57.064,376.081,423.579,2338.904,261.322,2848.488,35.79,20,2042.321
6034,12/31/22,TILE,INTERFACE INC,617.037,1266.503,58.106,121.173,220.47,904.966,111.567,1297.919,9.87,20,573.506
6216,9/30/22,J,JACOBS SOLUTIONS INC,4721.994,14660.419,127.393,1115.734,3250.845,7923.505,3250.654,14922.825,120.07,20,15296.078
6223,12/31/22,EME,EMCOR GROUP INC,3461.973,5524.607,47.667,564.877,2753.522,3550.316,3120.83,11076.12,148.11,20,7059.959
6268,9/30/22,JCI,JOHNSON CONTROLS INTL PLC,11685,42158,688.697,2590,11239,24756,240,25299,64,20,44076.608
6326,12/31/22,KAMN,KAMAN CORP,431.558,1491.332,28.032,25.22,126.575,807.353,530.036,687.961,22.3,20,625.114
6379,12/31/22,KELYA,KELLY SERVICES INC  -CL A,1715.2,2663.8,37.5,70,1128.8,1409.6,1207.8,4965.4,16.9,20,633.75
6386,6/30/22,KMT,KENNAMETAL INC,1024.708,2573.524,81.337,221.377,485.649,1282.277,656.704,2012.456,24.06,20,1956.968
6461,12/31/22,KEX,KIRBY CORP,1211.759,5554.924,59.907,190.307,642.197,2509.756,2485.583,2784.754,64.35,20,3855.015
6494,3/31/22,KMTUY,KOMATSU LTD,19938.91,35801.235,945.313,2598.396,10903.128,16397.623,17069.365,23076.738,23.39,20,22110.871
6506,12/31/22,KUBTY,KUBOTA CORP,17481.51,35877.716,237.834,1601.998,12091.48,20125.115,13069.48,20313.396,68.854,20,16375.822
6527,6/30/22,LYTS,LSI INDUSTRIES INC,158.917,311.08,26.663,21.686,74.618,163.311,8.269,455.12,12.24,20,326.355
6617,12/31/22,DSGR,DISTRIBUTION SOLUTIO GRO INC,478.188,1215.61,19.417,60.095,169.479,652.615,-35.692,1151.422,36.86,20,715.711
6737,12/31/22,LECO,LINCOLN ELECTRIC HLDGS INC,1557.79,3180.546,57.624,631.233,852.897,2146.505,3031.201,3761.211,144.49,20,8326.092
6774,12/31/22,LMT,LOCKHEED MARTIN CORP,20991,52880,254,8387,15887,43614,8920,65984,486.49,20,123568.46
6867,12/31/22,MDU,MDU RESOURCES GROUP INC,2011.748,9660.781,203.624,573.953,1479.603,6073.652,1920.555,6973.864,30.34,20,6177.952
6972,3/31/22,MKTAY,MAKITA CORP,5640.541,8296.597,271.532,755.367,1845.967,2099.618,5669.651,6087.703,42.404,20,11514.043
6994,12/31/22,MTW,MANITOWOC CO,998.5,1615.5,35.085,79.4,547.8,1077.7,-3.6,2032.5,9.16,20,321.379
7085,12/31/22,MAS,MASCO CORP,2946,5187,225.3,1355,1889,5429,-721,8680,46.67,20,10514.751
7185,9/30/22,GENC,GENCOR INDUSTRIES INC,162.479,179.313,14.658,4.167,12.39,12.396,152.861,103.479,10.1,20,148.046
7295,6/30/22,EVI,EVI INDUSTRIES INC,105.612,230.768,12.522,6.545,74.847,113.089,22.889,267.316,23.87,20,298.9
7401,5/31/22,MLKN,MILLERKNOLL INC,1317.9,4514,75.824,164.3,877.4,2980,586.2,3946,39.19,20,2971.543
7420,12/31/22,MSA,MSA SAFETY INC,880.126,2376.976,39.213,260.59,345.865,1453.235,999.63,1527.953,144.19,20,5654.122
7435,12/31/22,MMM,3M CO,14688,46455,549.245,6919,9523,31685,41277,34229,119.92,20,65865.46
7471,3/31/22,MITSY,MITSUI & CO LTD,47076.084,122891.204,80.047,4485.841,31363.502,75166.765,41119.974,96821.852,473.015,20,37863.432
7549,9/30/22,MOG.A,MOOG INC  -CL A,1758.31,3431.841,31.781,266.341,838.436,1995.028,2049.013,3035.783,87.76,20,2789.101
7658,12/31/22,NL,NL INDUSTRIES,193.968,609.867,48.816,13.731,32.052,207.12,77.451,166.562,6.81,20,332.437
7762,12/31/22,NPK,NATIONAL PRESTO INDS INC,326.632,411.847,7.063,26.93,53.641,63.795,337.968,321.623,68.46,20,483.533
7921,10/31/22,NDSN,NORDSON CORP,1132.971,3820.375,57.111,703.923,834.203,1526,3444.434,2590.278,237.72,20,13576.427
7923,12/31/22,NSC,NORFOLK SOUTHERN CORP,2007,38885,228.076,4733,2649,26152,10346,12745,246.42,20,56202.488
7985,12/31/22,NOC,NORTHROP GRUMMAN CORP,12488,43755,153.158,3601,11587,28443,15159,36602,545.61,20,83564.536
7991,12/31/22,TEX,TEREX CORP,1962,3118.1,66.8,427,998.6,1936.9,859,4417.7,42.72,20,2853.696
8214,12/31/22,OC,OWENS CORNING,3556,10752,91.9,1756,2104,6131,3113,9761,85.3,20,7839.07
8348,2/28/22,PKE,PARK AEROSPACE CORP,126.439,160.887,20.458,11.668,6.292,25.255,-26.732,53.578,13.2,20,270.046
8350,12/31/22,PKOH,PARK OHIO HOLDINGS CORP,932.4,1436.6,12.807,48.3,448.6,1168.7,177,1492.9,12.23,20,156.63
8358,6/30/22,PH,PARKER-HANNIFIN CORP,12046.644,25943.943,128.451,2923.275,5859.318,17084.023,14118.61,15861.608,291,20,37379.241
8402,5/31/22,PAYX,PAYCHEX INC,6581.6,9635.2,359.9,1840,5269.2,6550,1535.7,4611.7,136.5,20,49126.35
8463,12/31/22,PNR,PENTAIR PLC,1558.5,6447.5,164.543,715.9,1063.1,3739.4,1151.5,4121.8,44.98,20,7401.144
8486,12/31/22,TPC,TUTOR PERINI CORP,3678.771,4542.8,51.521,-204.764,1967.527,3100.816,257.264,3790.755,7.55,20,388.984
8606,12/31/22,PBI,PITNEY BOWES INC,1798.016,4742.404,174.031,131.265,1728.852,4681.751,4290.113,3538.042,3.8,20,661.318
8661,12/31/22,IPDN,PROFESSIONAL DIVERSITY NETWK,3.257,6.836,20.735,-4.011,3.943,4.527,-98.394,8.314,1.035,20,21.461
8699,9/30/22,POWL,POWELL INDUSTRIES INC,369.983,493.38,11.782,4.724,186.373,196.174,254.64,530.082,35.18,20,414.491
8832,1/31/22,AGX,ARGAN INC,507.284,553.585,15.258,52.411,223.027,227.99,186.239,509.37,38.69,20,590.332
8892,12/31/22,RCMT,RCM TECHNOLOGIES INC,59.017,87.964,9.285,28.491,40.424,56.002,-38.959,284.68,12.34,20,114.577
9016,12/31/22,RRX,REGAL REXNORD CORP,3000.5,10268.9,66.2,757.1,1002.2,3846.3,1777.9,5217.9,119.98,20,7942.676
9203,9/30/22,ROK,ROCKWELL AUTOMATION,3610.7,10758.7,115.2,1335.3,3572.2,7742,7494.3,7760.4,257.57,20,29672.064
9225,12/31/22,ROL,ROLLINS INC,348.619,2122.028,492.448,493.388,493.784,854.831,655.507,2695.823,36.54,20,17994.05
9299,12/31/22,R,RYDER SYSTEM INC,2200,14395,46.287,975,3316,11458,1722,12011,83.57,20,3868.205
9619,12/31/22,SVT,SERVOTRONICS INC,33.252,45.294,2.483,-2.483,6.207,10.182,21.404,43.821,10.56,20,26.22
9698,9/30/22,SIF,SIFCO INDUSTRIES,38.778,97.266,6.04,-14.077,32.589,56.576,23.263,83.902,2.1597,20,13.045
9771,12/31/22,AOS,SMITH (A.O.),1633.7,3332.3,151.179,651.5,934.2,1584.6,2802.6,3753.9,57.24,20,8653.486
9778,12/31/22,SNA,SNAP-ON INC,3368.9,6972.8,53.003,1207.2,971.6,2469.3,5767.9,4842.5,228.49,20,12110.655
9882,12/31/22,LUV,SOUTHWEST AIRLINES,14808,35369,594,1427,10378,24682,16605,24224,33.67,20,19999.98
9919,12/31/22,SHYF,THE SHYFT GROUP INC,345.767,580.481,35.066,47.509,201.232,311.787,175.611,1027.164,24.86,20,871.741
10008,6/30/22,SXI,STANDEX INTERNATIONAL CORP,378.998,934.439,11.824,101.156,150.768,435.096,748.109,735.339,102.41,20,1210.896
10016,12/31/22,SWK,STANLEY BLACK & DECKER INC,7974.7,24963.3,152.984,1019.3,6569.2,15249.1,7213.8,16947.4,75.12,20,11492.158
10030,6/30/22,SCX,STARRETT (L.S.) CO  -CL A,133.053,199.554,7.293,21.986,41.18,97.125,37.993,253.701,7.36,20,53.676
10349,5/31/22,TAYD,TAYLOR DEVICES INC,37.977,49.219,3.498,2.473,5.964,5.964,35.841,30.867,10.9232,20,38.209
10353,12/31/22,TISI,TEAM INC,347.553,616.645,4.343,-40.486,448.864,498.885,-340.676,840.208,5.25,20,22.801
10441,12/31/22,TNC,TENNANT CO,575.3,1085.1,18.521,87.6,261.6,613,407.8,1092.2,61.57,20,1140.338
10581,12/31/22,TKR,TIMKEN CO,2504,5772.4,72.579,659,1012.4,3419.5,1750.2,4496.7,70.67,20,5129.158
